ts,chain,address,symbol,binance_symbol,binance_base_asset,binance_match_type,label,pump_score,dump_score,anomaly_score,smart_money_score,risk_score,reasons
2026-04-25T22:20:47+00:00,arbitrum,0x4186bfc76e2e237523cbc30fd220fe055156b41f,rsETH,,,,anomaly_watch,31.8,3.0,100.0,0.0,12.0,risk:thin_liquidity;ml_isolation_forest_anomaly
2026-04-25T22:20:47+00:00,arbitrum,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,WBTC,,,,anomaly_watch,2.46,62.95,88.23,0.0,0.0,whale_distribution;ml_isolation_forest_anomaly
2026-04-25T22:20:47+00:00,arbitrum,0x6eb5c25ef5dd5c182fb4e009dfcd589319dd3996,ABTXYZ,,,,anomaly_watch,19.44,0.0,85.56,0.0,0.0,normal_watch;ml_isolation_forest_anomaly
2026-04-25T22:20:47+00:00,bnb,0x84705764ac89b7b7788fe1088e3fc89d60341866,RBLX,,,,watch,66.0,0.0,65.0,0.0,0.0,sudden_rise_price_plus_volume
2026-04-25T22:20:47+00:00,bnb,0x6ebd5d956ad3f6e3373aba882ae632dd41e34678,MTAUR,,,,watch,66.0,0.0,65.0,0.0,0.0,sudden_rise_price_plus_volume
2026-04-25T22:20:47+00:00,bnb,0xb612293b04cf46c94fde8a42ba40fcf7866f3950,DEAM,,,,watch,25.8,28.0,58.77,0.0,12.0,risk:thin_liquidity
2026-04-25T22:20:47+00:00,bnb,0x9e74c1ad01bdc94f347ef48cc59d02e47f28c588,dSK,,,,watch,25.8,28.0,58.77,0.0,12.0,risk:thin_liquidity
2026-04-25T22:20:47+00:00,arbitrum,0xbdf8c7b8371557b78428032a54965fc52ad98685,ORMBLG,,,,watch,0.0,3.0,54.77,0.0,12.0,risk:thin_liquidity
2026-04-25T22:20:47+00:00,bnb,0x63170a36cd3c3c97b84c36de4afb9b59cbd414a6,GIFT,,,,watch,45.47,0.0,54.07,0.0,0.0,sudden_rise_price_plus_volume
2026-04-25T22:20:47+00:00,bnb,0x98ccec2cee71c7fcb345b1c7018e2650cd834444,IQMOG,,,,watch,33.94,0.0,36.13,0.0,0.0,normal_watch
2026-04-25T22:20:47+00:00,arbitrum,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,,,,watch,27.18,0.0,31.13,12.27,0.0,buy_pressure
2026-04-25T22:20:47+00:00,bnb,0xc3cddb1c1163a6f9aa877d1fd9447c72056121de,DB,,,,watch,25.8,3.0,30.0,0.0,12.0,risk:thin_liquidity
2026-04-25T22:20:47+00:00,bnb,0x444460ee1b4f4c082dc03f4a3aa8c8dcf4322f7a,BELKA,,,,watch,30.0,0.0,30.0,0.0,0.0,normal_watch
2026-04-25T22:20:47+00:00,bnb,0x4012e896bc1293db8087b21ba0578d35214bccc7,SK,,,,watch,25.8,3.0,30.0,0.0,12.0,risk:thin_liquidity
2026-04-25T22:20:47+00:00,bnb,0x2285c342d8d37ae0465ea9b3972f49513984e486,AVGO,,,,watch,30.0,0.0,30.0,0.0,0.0,normal_watch
2026-04-25T22:20:47+00:00,arbitrum,0xaf88d065e77c8cc2239327c5edb3a432268e5831,USDC,,,,watch,4.86,0.14,24.77,0.0,0.0,normal_watch
2026-04-25T22:20:47+00:00,arbitrum,0x912ce59144191c1204e64559fe8253a0e49e6548,ARB,,,,watch,4.64,10.55,17.03,0.0,0.0,normal_watch
2026-04-25T22:20:47+00:00,arbitrum,0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,aArbWETH,,,,watch,0.09,0.01,15.19,0.0,0.0,normal_watch
2026-04-25T22:20:47+00:00,arbitrum,0x7f9fbf9bdd3f4105c478b996b648fe6e828a1e98,APE,,,,watch,0.27,0.16,15.06,0.0,0.0,normal_watch
2026-04-25T22:20:47+00:00,arbitrum,0x0c1c1c109fe34733fca54b82d7b46b75cfb71f6e,CHIP,,,,watch,8.16,0.0,11.82,3.07,0.0,normal_watch
